latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,3600,Europe/Berlin,GMT+1

time,temperature_2m_max (°C)
2025-12-07,9.5
2025-12-08,13.1
2025-12-09,12.3
2025-12-10,12.5
2025-12-11,11.3
2025-12-12,6.8
2025-12-13,8.8
2025-12-14,7.2
2025-12-15,7.8
2025-12-16,6.0
2025-12-17,4.5
2025-12-18,9.9
2025-12-19,9.4
2025-12-20,9.0
2025-12-21,6.6
2025-12-22,5.0
2025-12-23,3.5
2025-12-24,0.6
2025-12-25,-4.4
2025-12-26,-0.5
2025-12-27,3.6
2025-12-28,2.6
2025-12-29,4.5
2025-12-30,2.5
2025-12-31,3.1
2026-01-01,4.3
2026-01-02,3.6
2026-01-03,0.9
2026-01-04,0.5
2026-01-05,0.1
2026-01-06,-2.0
2026-01-07,-3.3
